 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.030E+01  9.014E+01     580 A       217 A       157 A   
  11.00 keV   5.275E+01  8.772E+01     638 A       235 A       170 A   
  12.00 keV   5.510E+01  8.543E+01     696 A       252 A       183 A   
  13.00 keV   5.735E+01  8.326E+01     754 A       269 A       196 A   
  14.00 keV   5.951E+01  8.122E+01     812 A       286 A       209 A   
  15.00 keV   6.160E+01  7.928E+01     871 A       302 A       222 A   
  16.00 keV   6.362E+01  7.745E+01     930 A       318 A       235 A   
  17.00 keV   6.558E+01  7.571E+01     989 A       334 A       248 A   
  18.00 keV   6.748E+01  7.406E+01    1048 A       350 A       261 A   
  20.00 keV   7.113E+01  7.100E+01    1166 A       380 A       287 A   
  22.50 keV   7.545E+01  6.757E+01    1315 A       417 A       318 A   
  25.00 keV   8.013E+01  6.451E+01    1463 A       452 A       349 A   
  27.50 keV   8.492E+01  6.176E+01    1610 A       485 A       380 A   
  30.00 keV   8.892E+01  5.927E+01    1756 A       516 A       410 A   
  32.50 keV   9.234E+01  5.701E+01    1902 A       547 A       439 A   
  35.00 keV   9.533E+01  5.494E+01    2048 A       576 A       467 A   
  37.50 keV   9.800E+01  5.304E+01    2193 A       604 A       495 A   
  40.00 keV   1.004E+02  5.129E+01    2339 A       632 A       523 A   
  45.00 keV   1.048E+02  4.817E+01    2629 A       685 A       577 A   
