Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.17879   	0.001000	0.155363  	0.001000	0.150111  	0.001000	0.150111  	0.001000	0.0701097 	0.001000	0.0852531 	
0.002000	0.195347  	0.002000	0.159646  	0.002000	0.157282  	0.002000	0.157282  	0.002000	0.0940854 	0.002000	0.0655608 	
0.005000	0.236616  	0.005000	0.179938  	0.005000	0.18593   	0.005000	0.18593   	0.005000	0.139031  	0.005000	0.0409069 	
0.008000	0.269336  	0.008000	0.200718  	0.008000	0.214172  	0.008000	0.214172  	0.008000	0.169987  	0.008000	0.0307313 	
0.010000	0.288085  	0.010000	0.213645  	0.010000	0.231695  	0.010000	0.231695  	0.010000	0.187043  	0.010000	0.0266025 	
0.015000	0.335631  	0.015000	0.248136  	0.015000	0.268851  	0.015000	0.268851  	0.015000	0.22798   	0.015000	0.0201555 	
0.020000	0.373619  	0.020000	0.288516  	0.020000	0.307247  	0.020000	0.307247  	0.020000	0.272058  	0.020000	0.0164581 	
0.025000	0.415539  	0.025000	0.327655  	0.025000	0.34514   	0.025000	0.34514   	0.025000	0.313734  	0.025000	0.0139212 	
0.030000	0.451069  	0.030000	0.365648  	0.030000	0.377459  	0.030000	0.377459  	0.030000	0.353478  	0.030000	0.0121702 	
0.035000	0.480279  	0.035000	0.402298  	0.035000	0.408395  	0.035000	0.408395  	0.035000	0.391454  	0.035000	0.0108442 	
0.040000	0.5033    	0.040000	0.437511  	0.040000	0.437965  	0.040000	0.437965  	0.040000	0.42771   	0.040000	0.00980134	
0.045000	0.520377  	0.045000	0.471196  	0.045000	0.466186  	0.045000	0.466186  	0.045000	0.462239  	0.045000	0.00895746	
0.050000	0.531857  	0.050000	0.503277  	0.050000	0.493076  	0.050000	0.493076  	0.050000	0.495017  	0.050000	0.00825909	
0.055000	0.555018  	0.055000	0.533689  	0.055000	0.518653  	0.055000	0.518653  	0.055000	0.526019  	0.055000	0.00767058	
0.060000	0.574746  	0.060000	0.562389  	0.060000	0.54294   	0.060000	0.54294   	0.060000	0.555222  	0.060000	0.0071672 	
0.070000	0.604882  	0.070000	0.614568  	0.070000	0.587753  	0.070000	0.587753  	0.070000	0.608218  	0.070000	0.00634959	
0.080000	0.637217  	0.080000	0.65983   	0.080000	0.62776   	0.080000	0.62776   	0.080000	0.654118  	0.080000	0.00571223	
0.090000	0.662619  	0.090000	0.698802  	0.090000	0.663255  	0.090000	0.663255  	0.090000	0.693602  	0.090000	0.00520012	
0.100000	0.682993  	0.100000	0.732725  	0.100000	0.694558  	0.100000	0.694558  	0.100000	0.727946  	0.100000	0.0047788 	
0.120000	0.695369  	0.120000	0.784026  	0.120000	0.74593   	0.120000	0.74593   	0.120000	0.779901  	0.120000	0.00412464	
0.140000	0.700287  	0.140000	0.817718  	0.140000	0.784519  	0.140000	0.784519  	0.140000	0.814079  	0.140000	0.00363854	
0.160000	0.702029  	0.160000	0.837916  	0.160000	0.812745  	0.160000	0.812745  	0.160000	0.834654  	0.160000	0.0032619 	
0.180000	0.701882  	0.180000	0.846142  	0.180000	0.832698  	0.180000	0.832698  	0.180000	0.843181  	0.180000	0.00296076	
0.200000	0.703417  	0.200000	0.849424  	0.200000	0.846118  	0.200000	0.846118  	0.200000	0.84671   	0.200000	0.00271402	
0.250000	0.69058   	0.250000	0.846029  	0.250000	0.859711  	0.250000	0.859711  	0.250000	0.843774  	0.250000	0.00225482	
0.300000	0.693417  	0.300000	0.84774   	0.300000	0.856033  	0.300000	0.856033  	0.300000	0.845804  	0.300000	0.00193594	
0.350000	0.698614  	0.350000	0.848969  	0.350000	0.843722  	0.350000	0.843722  	0.350000	0.847269  	0.350000	0.00170064	
0.400000	0.697394  	0.400000	0.841414  	0.400000	0.828651  	0.400000	0.828651  	0.400000	0.839895  	0.400000	0.00151932	
0.450000	0.693545  	0.450000	0.831013  	0.450000	0.817651  	0.450000	0.817651  	0.450000	0.829638  	0.450000	0.00137503	
0.500000	0.691602  	0.500000	0.823666  	0.500000	0.804306  	0.500000	0.804306  	0.500000	0.822409  	0.500000	0.00125726	
0.600000	0.66087   	0.600000	0.807647  	0.600000	0.775225  	0.600000	0.775225  	0.600000	0.806571  	0.600000	0.00107618	
0.700000	0.626348  	0.700000	0.789119  	0.700000	0.744462  	0.700000	0.744462  	0.700000	0.788176  	0.700000	0.000943068	
0.800000	0.613024  	0.800000	0.767947  	0.800000	0.715598  	0.800000	0.715598  	0.800000	0.767106  	0.800000	0.000840819	
0.900000	0.598304  	0.900000	0.746344  	0.900000	0.689222  	0.900000	0.689222  	0.900000	0.745584  	0.900000	0.000759653	
1.000000	0.582829  	1.000000	0.7248    	1.000000	0.665017  	1.000000	0.665017  	1.000000	0.724107  	1.000000	0.000693556	
1.250000	0.538646  	1.250000	0.667852  	1.250000	0.611193  	1.250000	0.611193  	1.250000	0.667281  	1.250000	0.000571566	
1.500000	0.493154  	1.500000	0.610249  	1.500000	0.564169  	1.500000	0.564169  	1.500000	0.609762  	1.500000	0.00048769	
1.750000	0.454334  	1.750000	0.561916  	1.750000	0.525087  	1.750000	0.525087  	1.750000	0.56149   	1.750000	0.000426271	
