! 12C energy loss (dE/dX) in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.415006  	0.001000	0.229204  	0.001000	0.260555  	0.001000	0.260555  	0.001000	0.260571  	0.001000	0.129159  	0.001000	0.100045  	
0.002000	0.45344   	0.002000	0.250213  	0.002000	0.287293  	0.002000	0.287293  	0.002000	0.287304  	0.002000	0.167499  	0.002000	0.0827142 	
0.005000	0.549233  	0.005000	0.292077  	0.005000	0.337826  	0.005000	0.337826  	0.005000	0.337832  	0.005000	0.236178  	0.005000	0.0558992 	
0.008000	0.625182  	0.008000	0.325066  	0.008000	0.375704  	0.008000	0.375704  	0.008000	0.375708  	0.008000	0.281699  	0.008000	0.0433677 	
0.010000	0.668702  	0.010000	0.344329  	0.010000	0.397376  	0.010000	0.397376  	0.010000	0.39738   	0.010000	0.306285  	0.010000	0.038044  	
0.015000	0.779068  	0.015000	0.39678   	0.015000	0.451308  	0.015000	0.451308  	0.015000	0.451311  	0.015000	0.367239  	0.015000	0.0295418 	
0.020000	0.867244  	0.020000	0.483333  	0.020000	0.528447  	0.020000	0.528447  	0.020000	0.52845   	0.020000	0.458899  	0.020000	0.0244347 	
0.025000	0.964548  	0.025000	0.566838  	0.025000	0.60457   	0.025000	0.60457   	0.025000	0.604572  	0.025000	0.545858  	0.025000	0.0209801 	
0.030000	1.04702   	0.030000	0.646063  	0.030000	0.670328  	0.030000	0.670328  	0.030000	0.67033   	0.030000	0.627596  	0.030000	0.0184666 	
0.035000	1.11482   	0.035000	0.719943  	0.035000	0.731525  	0.035000	0.731525  	0.035000	0.731526  	0.035000	0.703549  	0.035000	0.0163938 	
0.040000	1.16826   	0.040000	0.788197  	0.040000	0.788446  	0.040000	0.788446  	0.040000	0.788448  	0.040000	0.77331   	0.040000	0.0148874 	
0.045000	1.2079    	0.045000	0.850327  	0.045000	0.840946  	0.045000	0.840946  	0.045000	0.840947  	0.045000	0.836668  	0.045000	0.0136589 	
0.050000	1.23455   	0.050000	0.906247  	0.050000	0.889103  	0.050000	0.889103  	0.050000	0.889105  	0.050000	0.893611  	0.050000	0.0126357 	
0.055000	1.28831   	0.055000	0.956065  	0.055000	0.933048  	0.055000	0.933048  	0.055000	0.933049  	0.055000	0.944296  	0.055000	0.0117688 	
0.060000	1.3341    	0.060000	1.00004   	0.060000	0.972946  	0.060000	0.972946  	0.060000	0.972948  	0.060000	0.989014  	0.060000	0.011024  	
0.070000	1.40405   	0.070000	1.07198   	0.070000	1.04142   	0.070000	1.04142   	0.070000	1.04143   	0.070000	1.06217   	0.070000	0.00980723	
0.080000	1.47911   	0.080000	1.1256    	0.080000	1.09635   	0.080000	1.09635   	0.080000	1.09635   	0.080000	1.11675   	0.080000	0.00885277	
0.090000	1.53807   	0.090000	1.16519   	0.090000	1.13967   	0.090000	1.13967   	0.090000	1.13967   	0.090000	1.15711   	0.090000	0.00808196	
0.100000	1.58536   	0.100000	1.1954    	0.100000	1.17328   	0.100000	1.17328   	0.100000	1.17328   	0.100000	1.18796   	0.100000	0.00744511	
0.120000	1.61409   	0.120000	1.23183   	0.120000	1.2181    	0.120000	1.2181    	0.120000	1.2181    	0.120000	1.22538   	0.120000	0.00645134	
0.140000	1.62551   	0.140000	1.2489    	0.140000	1.24212   	0.140000	1.24212   	0.140000	1.24212   	0.140000	1.24319   	0.140000	0.00570879	
0.160000	1.62955   	0.160000	1.25466   	0.160000	1.25325   	0.160000	1.25325   	0.160000	1.25325   	0.160000	1.24953   	0.160000	0.00513091	
0.180000	1.62921   	0.180000	1.25055   	0.180000	1.25664   	0.180000	1.25664   	0.180000	1.25664   	0.180000	1.24589   	0.180000	0.00466722	
0.200000	1.63277   	0.200000	1.24532   	0.200000	1.25553   	0.200000	1.25553   	0.200000	1.25553   	0.200000	1.24103   	0.200000	0.00428617	
0.250000	1.60297   	0.250000	1.23159   	0.250000	1.24401   	0.250000	1.24401   	0.250000	1.24401   	0.250000	1.22802   	0.250000	0.0035741 	
0.300000	1.60956   	0.300000	1.23617   	0.300000	1.22876   	0.300000	1.22876   	0.300000	1.22876   	0.300000	1.2331    	0.300000	0.00307725	
0.350000	1.62162   	0.350000	1.24341   	0.350000	1.21323   	0.350000	1.21323   	0.350000	1.21323   	0.350000	1.2407    	0.350000	0.00270927	
0.400000	1.61879   	0.400000	1.23837   	0.400000	1.19974   	0.400000	1.19974   	0.400000	1.19974   	0.400000	1.23595   	0.400000	0.0024249 	
0.450000	1.60986   	0.450000	1.22875   	0.450000	1.19455   	0.450000	1.19455   	0.450000	1.19455   	0.450000	1.22656   	0.450000	0.00219803	
0.500000	1.60535   	0.500000	1.22303   	0.500000	1.18646   	0.500000	1.18646   	0.500000	1.18646   	0.500000	1.22102   	0.500000	0.0020125 	
0.600000	1.53401   	0.600000	1.20787   	0.600000	1.16469   	0.600000	1.16469   	0.600000	1.16469   	0.600000	1.20614   	0.600000	0.0017265 	
0.700000	1.45388   	0.700000	1.18728   	0.700000	1.13579   	0.700000	1.13579   	0.700000	1.13579   	0.700000	1.18577   	0.700000	0.00151567	
