! 12C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0499049 	0.001000	0.0499049 	0.001000	0.0436543 	0.001000	0.0436543 	0.001000	0.0436521 	0.001000	0         	0.001000	0         	0.001000	0.000560356	0.001000	0.000914356	0.001000	0.000415441	
0.002000	0.101434  	0.002000	0.0998097 	0.002000	0.0873085 	0.002000	0.0873085 	0.002000	0.0873041 	0.002000	0.00610008	0.002000	0.00610008	0.002000	0.00164095	0.002000	0.00258667	0.002000	0.00126792	
0.005000	0.238162  	0.005000	0.23223   	0.005000	0.202067  	0.005000	0.202067  	0.005000	0.202059  	0.005000	0.0072949 	0.005000	0.0072949 	0.005000	0.00598053	0.005000	0.00908511	0.005000	0.00480206	
0.008000	0.358517  	0.008000	0.348791  	0.008000	0.302855  	0.008000	0.302855  	0.008000	0.302846  	0.008000	0.0073507 	0.008000	0.0073507 	0.008000	0.0111694 	0.008000	0.0166622 	0.008000	0.0091216 	
0.010000	0.432524  	0.010000	0.420466  	0.010000	0.364913  	0.010000	0.364913  	0.010000	0.364904  	0.010000	0.00755055	0.010000	0.00755055	0.010000	0.0148941 	0.010000	0.0220345 	0.010000	0.0122535 	
0.015000	0.601502  	0.015000	0.584118  	0.015000	0.507177  	0.015000	0.507177  	0.015000	0.507166  	0.015000	0.00859214	0.015000	0.00859214	0.015000	0.0247544 	0.015000	0.0360954 	0.015000	0.020617  	
0.020000	0.74264   	0.020000	0.720809  	0.020000	0.629847  	0.020000	0.629847  	0.020000	0.629836  	0.020000	0.00980211	0.020000	0.00980211	0.020000	0.0345269 	0.020000	0.0499218 	0.020000	0.0289547 	
0.025000	0.860773  	0.025000	0.835219  	0.025000	0.735879  	0.025000	0.735879  	0.025000	0.735867  	0.025000	0.0108545 	0.025000	0.0108545 	0.025000	0.0438119 	0.025000	0.0630048 	0.025000	0.0369001 	
0.030000	0.962979  	0.030000	0.934204  	0.030000	0.830008  	0.030000	0.830008  	0.030000	0.829996  	0.030000	0.0117426 	0.030000	0.0117426 	0.030000	0.0526683 	0.030000	0.0754394 	0.030000	0.0444986 	
0.035000	1.05369   	0.035000	1.02206   	0.035000	0.915602  	0.035000	0.915602  	0.035000	0.91559   	0.035000	0.0125057 	0.035000	0.0125057 	0.035000	0.0612031 	0.035000	0.0873815 	0.035000	0.0518392 	
0.040000	1.13583   	0.040000	1.10161   	0.040000	0.994527  	0.040000	0.994527  	0.040000	0.994515  	0.040000	0.0131684 	0.040000	0.0131684 	0.040000	0.0694623 	0.040000	0.0989039 	0.040000	0.0589576 	
0.045000	1.21142   	0.045000	1.17481   	0.045000	1.06815   	0.045000	1.06815   	0.045000	1.06813   	0.045000	0.0137522 	0.045000	0.0137522 	0.045000	0.0774932 	0.045000	0.110078  	0.045000	0.0658926 	
0.050000	1.28192   	0.050000	1.24309   	0.050000	1.13748   	0.050000	1.13748   	0.050000	1.13747   	0.050000	0.0142743 	0.050000	0.0140951 	0.050000	0.085338  	0.050000	0.120965  	0.050000	0.0726788 	
0.055000	1.34841   	0.055000	1.30749   	0.055000	1.20331   	0.055000	1.20331   	0.055000	1.20329   	0.055000	0.0147477 	0.055000	0.0143082 	0.055000	0.0930342 	0.055000	0.13162   	0.055000	0.0793478 	
0.060000	1.41172   	0.060000	1.3688    	0.060000	1.26623   	0.060000	1.26623   	0.060000	1.26622   	0.060000	0.0151824 	0.060000	0.0145056 	0.060000	0.0998261 	0.060000	0.141     	0.060000	0.0852427 	
0.070000	1.53114   	0.070000	1.48446   	0.070000	1.38525   	0.070000	1.38525   	0.070000	1.38524   	0.070000	0.0159652 	0.070000	0.0148662 	0.070000	0.110872  	0.070000	0.156198  	0.070000	0.0948535 	
0.080000	1.64376   	0.080000	1.59353   	0.080000	1.4974    	0.080000	1.4974    	0.080000	1.49739   	0.080000	0.0166667 	0.080000	0.0151959 	0.080000	0.119788  	0.080000	0.168399  	0.080000	0.102636  	
0.090000	1.75183   	0.090000	1.6982    	0.090000	1.60463   	0.090000	1.60463   	0.090000	1.60462   	0.090000	0.0173144 	0.090000	0.0155066 	0.090000	0.127461  	0.090000	0.178792  	0.090000	0.109355  	
0.100000	1.85671   	0.100000	1.79977   	0.100000	1.70831   	0.100000	1.70831   	0.100000	1.70829   	0.100000	0.0179265 	0.100000	0.0158059 	0.100000	0.134045  	0.100000	0.187508  	0.100000	0.115139  	
0.120000	2.0605    	0.120000	1.99714   	0.120000	1.90864   	0.120000	1.90864   	0.120000	1.90862   	0.120000	0.0190892 	0.120000	0.0163905 	0.120000	0.145466  	0.120000	0.202481  	0.120000	0.125214  	
0.140000	2.26005   	0.140000	2.1904    	0.140000	2.10348   	0.140000	2.10348   	0.140000	2.10347   	0.140000	0.0202145 	0.140000	0.0169759 	0.140000	0.155266  	0.140000	0.215174  	0.140000	0.133904  	
0.160000	2.45779   	0.160000	2.38191   	0.160000	2.29566   	0.160000	2.29566   	0.160000	2.29564   	0.160000	0.0213322 	0.160000	0.0175756 	0.160000	0.16405   	0.160000	0.226426  	0.160000	0.141731  	
0.180000	2.65555   	0.180000	2.57344   	0.180000	2.48677   	0.180000	2.48677   	0.180000	2.48676   	0.180000	0.0224569 	0.180000	0.018196  	0.180000	0.172089  	0.180000	0.236624  	0.180000	0.148924  	
0.200000	2.85406   	0.200000	2.76569   	0.200000	2.67775   	0.200000	2.67775   	0.200000	2.67773   	0.200000	0.0235952 	0.200000	0.0188397 	0.200000	0.179659  	0.200000	0.246147  	0.200000	0.15572   	
0.250000	3.35418   	0.250000	3.25005   	0.250000	3.15747   	0.250000	3.15747   	0.250000	3.15745   	0.250000	0.0265101 	0.250000	0.0205502 	0.250000	0.196873  	0.250000	0.267526  	0.250000	0.171267  	
0.300000	3.8575    	0.300000	3.7375    	0.300000	3.64259   	0.300000	3.64259   	0.300000	3.64258   	0.300000	0.0295103 	0.300000	0.0223862 	0.300000	0.212618  	0.300000	0.286764  	0.300000	0.185581  	
0.350000	4.35673   	0.350000	4.22101   	0.350000	4.13387   	0.350000	4.13387   	0.350000	4.13386   	0.350000	0.0325703 	0.350000	0.0243186 	0.350000	0.227371  	0.350000	0.304564  	0.350000	0.199062  	
0.400000	4.8556    	0.400000	4.70416   	0.400000	4.63137   	0.400000	4.63137   	0.400000	4.63135   	0.400000	0.0356697 	0.400000	0.0263228 	0.400000	0.241368  	0.400000	0.321267  	0.400000	0.211914  	
0.450000	5.35758   	0.450000	5.19031   	0.450000	5.13231   	0.450000	5.13231   	0.450000	5.13229   	0.450000	0.0387473 	0.450000	0.0283484 	0.450000	0.254762  	0.450000	0.337099  	0.450000	0.224256  	
0.500000	5.86317   	0.500000	5.67997   	0.500000	5.63607   	0.500000	5.63607   	0.500000	5.63606   	0.500000	0.0417911 	0.500000	0.0303785 	0.500000	0.26763   	0.500000	0.352178  	0.500000	0.236154  	
0.600000	6.88145   	0.600000	6.66616   	0.600000	6.65617   	0.600000	6.65617   	0.600000	6.65616   	0.600000	0.0478509 	0.600000	0.0344765 	0.600000	0.292338  	0.600000	0.380803  	0.600000	0.259092  	
0.700000	7.91567   	0.700000	7.66779   	0.700000	7.69874   	0.700000	7.69874   	0.700000	7.69873   	0.700000	0.0539725 	0.700000	0.0386641 	0.700000	0.316037  	0.700000	0.407933  	0.700000	0.281204  	
0.800000	8.97009   	0.800000	8.68897   	0.800000	8.76942   	0.800000	8.76942   	0.800000	8.7694    	0.800000	0.0602464 	0.800000	0.0429825 	0.800000	0.339154  	0.800000	0.434159  	0.800000	0.302857  	
0.900000	10.0494   	0.900000	9.73425   	0.900000	9.86998   	0.900000	9.86998   	0.900000	9.86996   	0.900000	0.0666965 	0.900000	0.0474346 	0.900000	0.361989  	0.900000	0.459858  	0.900000	0.324303  	
1.000000	11.1546   	1.000000	10.8047   	1.000000	11.0016   	1.000000	11.0016   	1.000000	11.0016   	1.000000	0.073339  	1.000000	0.0520218 	1.000000	0.384509  	1.000000	0.485073  	1.000000	0.345519  	
1.250000	14.0495   	1.250000	13.6083   	1.250000	13.9724   	1.250000	13.9724   	1.250000	13.9724   	1.250000	0.0908697 	1.250000	0.0642323 	1.250000	0.440615  	1.250000	0.547342  	1.250000	0.398541  	
1.500000	17.1792   	1.500000	16.6394   	1.500000	17.1633   	1.500000	17.1633   	1.500000	17.1633   	1.500000	0.110004  	1.500000	0.0782689 	1.500000	0.497229  	1.500000	0.609592  	1.500000	0.452252  	
1.750000	20.5581   	1.750000	19.9118   	1.750000	20.5773   	1.750000	20.5773   	1.750000	20.5773   	1.750000	0.130758  	1.750000	0.0938119 	1.750000	0.555022  	1.750000	0.672627  	1.750000	0.507229  	
2.000000	24.1934   	2.000000	23.4326   	2.000000	24.2112   	2.000000	24.2112   	2.000000	24.2112   	2.000000	0.153072  	2.000000	0.110543  	2.000000	0.614255  	2.000000	0.736783  	2.000000	0.563691  	
2.250000	28.0991   	2.250000	27.2151   	2.250000	28.0634   	2.250000	28.0634   	2.250000	28.0633   	2.250000	0.17693   	2.250000	0.128301  	2.250000	0.674995  	2.250000	0.802269  	2.250000	0.6217    	
2.500000	32.2589   	2.500000	31.2476   	2.500000	32.1326   	2.500000	32.1326   	2.500000	32.1326   	2.500000	0.202325  	2.500000	0.146999  	2.500000	0.737543  	2.500000	0.869304  	2.500000	0.68151   	
