Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.37817   	0.001000	0.37817   	0.001000	0.414939  	0.001000	0.414939  	0.001000	0.125079  	0.001000	0.253091  	
0.002000	0.381701  	0.002000	0.381701  	0.002000	0.425776  	0.002000	0.425776  	0.002000	0.162207  	0.002000	0.219493  	
0.005000	0.385848  	0.005000	0.385848  	0.005000	0.441405  	0.005000	0.441405  	0.005000	0.228717  	0.005000	0.157131  	
0.008000	0.397719  	0.008000	0.397719  	0.008000	0.460022  	0.008000	0.460022  	0.008000	0.272799  	0.008000	0.12492   	
0.010000	0.407322  	0.010000	0.407322  	0.010000	0.473035  	0.010000	0.473035  	0.010000	0.296609  	0.010000	0.110713  	
0.015000	0.445661  	0.015000	0.445661  	0.015000	0.517759  	0.015000	0.517759  	0.015000	0.358261  	0.015000	0.0873999 	
0.020000	0.539236  	0.020000	0.539236  	0.020000	0.614423  	0.020000	0.614423  	0.020000	0.466207  	0.020000	0.0730289 	
0.025000	0.652334  	0.025000	0.652334  	0.025000	0.718528  	0.025000	0.718528  	0.025000	0.589183  	0.025000	0.0631504 	
0.030000	0.769362  	0.030000	0.769362  	0.030000	0.8168    	0.030000	0.8168    	0.030000	0.71348   	0.030000	0.0558816 	
0.035000	0.886749  	0.035000	0.886749  	0.035000	0.913832  	0.035000	0.913832  	0.035000	0.836472  	0.035000	0.0502772 	
0.040000	1.00183   	0.040000	1.00183   	0.040000	1.00833   	0.040000	1.00833   	0.040000	0.956028  	0.040000	0.0458059 	
0.045000	1.11226   	0.045000	1.11226   	0.045000	1.09902   	0.045000	1.09902   	0.045000	1.07051   	0.045000	0.0417502 	
0.050000	1.21749   	0.050000	1.21749   	0.050000	1.18608   	0.050000	1.18608   	0.050000	1.17877   	0.050000	0.038727  	
0.055000	1.31596   	0.055000	1.31596   	0.055000	1.26869   	0.055000	1.26869   	0.055000	1.27981   	0.055000	0.0361536 	
0.060000	1.39608   	0.060000	1.39608   	0.060000	1.3466    	0.060000	1.3466    	0.060000	1.36215   	0.060000	0.0339335 	
0.070000	1.53604   	0.070000	1.53604   	0.070000	1.48804   	0.070000	1.48804   	0.070000	1.50575   	0.070000	0.0302896 	
0.080000	1.65107   	0.080000	1.65107   	0.080000	1.61071   	0.080000	1.61071   	0.080000	1.62366   	0.080000	0.0274157 	
0.090000	1.74479   	0.090000	1.74479   	0.090000	1.71592   	0.090000	1.71592   	0.090000	1.71971   	0.090000	0.0250849 	
0.100000	1.82108   	0.100000	1.82108   	0.100000	1.8055    	0.100000	1.8055    	0.100000	1.79793   	0.100000	0.0231523 	
