 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 13, 2018 
 ==================================================================
 Disk File Name = SRIM Outputs\s.txt
 Ion = Sodium [11] , Mass = 20 amu
 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 
        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.210E+01  2.664E+02     218 A       124 A        88 A   
  11.00 keV   7.562E+01  2.659E+02     236 A       133 A        95 A   
  12.00 keV   7.898E+01  2.652E+02     255 A       142 A       101 A   
  13.00 keV   8.220E+01  2.642E+02     274 A       151 A       108 A   
  14.00 keV   8.531E+01  2.630E+02     293 A       160 A       114 A   
  15.00 keV   8.830E+01  2.616E+02     312 A       169 A       120 A   
  16.00 keV   9.120E+01  2.601E+02     331 A       178 A       126 A   
  17.00 keV   9.400E+01  2.586E+02     350 A       187 A       132 A   
  18.00 keV   9.673E+01  2.570E+02     370 A       195 A       138 A   
  20.00 keV   1.020E+02  2.536E+02     408 A       212 A       151 A   
  22.50 keV   1.081E+02  2.492E+02     456 A       233 A       166 A   
  25.00 keV   1.140E+02  2.448E+02     505 A       254 A       180 A   
  27.50 keV   1.196E+02  2.404E+02     554 A       275 A       195 A   
  30.00 keV   1.249E+02  2.361E+02     603 A       295 A       210 A   
  32.50 keV   1.300E+02  2.318E+02     653 A       315 A       224 A   
  35.00 keV   1.349E+02  2.277E+02     703 A       335 A       239 A   
  37.50 keV   1.396E+02  2.238E+02     753 A       354 A       253 A   
  40.00 keV   1.442E+02  2.199E+02     803 A       373 A       267 A   
  45.00 keV   1.636E+02  2.126E+02     902 A       409 A       296 A   
  50.00 keV   1.781E+02  2.058E+02    1000 A       443 A       325 A   
  55.00 keV   1.891E+02  1.994E+02    1097 A       476 A       353 A   
  60.00 keV   1.977E+02  1.935E+02    1195 A       508 A       380 A   
